 PRICES,YEARS
14.04,2000
16.55,2000
17.06,2001
16.59,2002
17.09,2002
17.99,2002
18.05,2002
18.06,2002
18.23,2002
18.34,2002
18.57,2002
18.68,2002
18.91,2002
19.23,2002
19.25,2002
19.07,2003
19.08,2003
19.18,2003
19.47,2003
19.73,2003
19.84,2003
20.12,2003
20.13,2003
20.33,2003
20.73,2003
21.12,2003
21.21,2003
22.12,2003
21.73,2004
21.74,2004
22.74,2004
24.16,2004
26.28,2004
28.45,2005
30.45,2005
30.47,2006
31.25,2006
32.47,2006
30.25,2007
30.25,2007
30.48,2007
31.76,2008
32.86,2008
34.8,2008
34.86,2008
30.86,2009
32.87,2009
32.92,2009
35.47,2010
37.62,2010
37.71,2010
37.75,2010
38.1,2010
40.1,2010
40.12,2010
41.12,2011
43.57,2011
43.8,2011
45.84,2011
40.91,2012
43.74,2012
43.95,2012
45.28,2012
49.69,2013
52.92,2013
53.97,2013
57.17,2013
57.28,2014
61.12,2014
61.97,2014
65.84,2014
52.28,2015
55.74,2015
56.85,2015
59.86,2015
51.67,2016
53.09,2016
54.1,2016
56.81,2016
54.9,2017
57.23,2017
58.07,2017
60.47,2017
69.31,2018
71.86,2018
73.18,2018
73.79,2018
65.56,2019
67.48,2019
68.27,2019
68.76,2019
69.36,2019
69.69,2019
70.31,2019
75.64,2020
77.72,2020
78.83,2020
80.53,2020
86.67,2021
89.79,2021
91.43,2021
94.14,2021
87.89,2022
89.62,2022
89.76,2022
92.76,2022
93.72,2022
93.9,2022
94.02,2022
94.24,2022
94.27,2022
96.52,2022
97.82,2022
84.26,2023
87.89,2023
89.62,2023
89.76,2023
89.82,2023
89.86,2023
94.24,2023
94.27,2023
97.8,2023
80.38,2024
87.55,2024
87.87,2024
90.11,2024
90.19,2024
90.62,2024
91.39,2024
91.49,2024
92.83,2024
93.61,2024
94.6,2024
95.26,2024
97.66,2024
,2024
