Price ,year 
25.94,2000
26.07,2000
28.44,2000
28.7,2000
27.54,2002
26.54,2002
28.94,2002
29.18,2002
29,2002
29.2,2002
29.66,2002
29.91,2002
30.24,2002
30.26,2002
29.57,2002
28.91,2002
29.93,2003
30.33,2003
30.71,2003
32.1,2003
33.49,2003
32.49,2003
31.49,2003
31.5,2003
30.4,2003
30.3,2003
32.4,2003
31.7,2003
32.7,2003
33.71,2004
35.71,2004
36.81,2004
37.84,2004
39,2004
40.49,2005
43.49,2005
43.51,2006
47.51,2006
44.85,2006
42.85,2007
42.85,2007
43.52,2007
45.52,2007
45.56,2008
50.56,2008
50.62,2008
45.62,2008
40.62,2009
44.63,2009
44.72,2009
47.43,2010
47.93,2010
47.93,2010
51.45,2010
51.45,2010
51.56,2010
51.83,2010
52.59,2010
52.91,2010
55.87,2010
58.37,2011
63.37,2011
77.53,2012
78.57,2012
77.88,2012
73.18,2012
65.9,2013
71.13,2013
70.35,2013
63.09,2013
74.71,2014
80.11,2014
79.36,2014
71.51,2014
69.45,2015
74.12,2015
73.76,2015
66.29,2015
62.47,2016
66.12,2016
66.44,2016
63.02,2016
68.26,2017
76.55,2017
68.21,2017
65.32,2017
81.43,2018
86.24,2018
81.06,2018
78.43,2018
85.24,2018
74.46,2019
71.73,2019
73.79,2019
77.34,2019
80.43,2020
82.1,2020
87.19,2020
83.63,2020
95.41,2021
109.98,2021
101.4,2021
104.67,2021
106.31,2022
106.03,2022
102.63,2022
109.66,2022
108.65,2022
108.48,2022
107.71,2022
107.24,2022
106.31,2023
101.94,2023
102.63,2023
106.03,2023
109.64,2023
109.69,2024
107.45,2024
104.37 ,2024
108.28,2024
105.27,2024
109.68,2024
107.09 ,2024
105.82 ,2024
107.88,2024
